3.802550315642720946e-01,9.470882612384149413e-01,9.220944376923591035e-01,9.039695699809412455e-01
3.514564400034302927e-01,4.022185218505103799e-01,8.557283833721479605e-01,8.749586043445467531e-01
4.640971360289057879e-01,7.214584488580619848e-01,8.365265126216918645e-01,8.950479578039540751e-01
8.536122072155460927e-01,3.121595661548179357e-01,7.827286985902456307e-01,8.962376109691642112e-01
6.815798867232003566e-02,1.285915536563224659e-01,7.103031279516713870e-02,7.598487075122656309e-01
3.890920859682972521e-01,2.972966447977616333e-01,3.201046659532700844e-01,8.619854405250186868e-01
7.582314500867375351e-01,3.452789340532775864e-01,7.683336244729183084e-01,8.909097773760404904e-01
9.717777932737954316e-01,7.382280327450777557e-01,7.217597485280293768e-01,9.039865109814901878e-01
7.135774133158414578e-01,5.513921877220469003e-01,4.811398573522289168e-01,8.925781338536975529e-01
7.801220749712663993e-01,7.084511584531720807e-01,6.856987218535335327e-01,8.953127356711060303e-01
5.565701161993141799e-01,4.546828043651562901e-02,6.603146746242747334e-01,8.603223491151649194e-01
6.829112737209794837e-01,6.702705458420590290e-01,8.620805183945423611e-01,8.869664870763738218e-01
9.725627938970253794e-01,1.863731404564858973e-01,1.094254920283682653e-01,8.421842075145822282e-01
8.839834236807030399e-01,2.933622045386702348e-01,9.359347897013277073e-01,9.048528511978995992e-01
7.643581276788459222e-01,9.111704125622003270e-01,3.381782584740772313e-01,8.865635228481548724e-01
2.609886435731462173e-01,9.831584928377354315e-02,4.751803985382958562e-01,8.183198821886474850e-01
8.049540710669512711e-01,8.066769444671026967e-01,8.179309897934681217e-01,9.024852369694569276e-01
6.322416965766883834e-01,7.485078100873947538e-01,7.907735440445105013e-01,8.782681814930342057e-01
2.664403226680290837e-01,5.401967334167279144e-02,7.514062362894435854e-01,8.199763660361508721e-01
6.928978063269135568e-01,5.513768299470198642e-01,6.119552182761358594e-01,8.927507056970099830e-01
4.417714325927362129e-01,2.914873544100419767e-01,5.968139394204965420e-01,8.704885836234186325e-01
4.507749829365790828e-01,3.362657931746557693e-01,6.791219227817013593e-01,8.847422697942103342e-01
8.715493384240626806e-01,6.697561164362070274e-01,5.913315851536482537e-02,8.075582220275236978e-01
8.253631424137437556e-01,3.749631108386055622e-01,5.925036803456568135e-01,8.870569897580600216e-01
8.521287121821994326e-01,6.006533197926802181e-01,6.396826633649662641e-01,8.915723698551279996e-01
6.292805247918042966e-01,5.149338921421195980e-01,3.877022679280072159e-01,8.600302575424900731e-01
6.607767440715528462e-01,8.116936707205548718e-01,8.345497409103894704e-01,9.007962750573745847e-01
8.702524158756362871e-01,9.547335300524883994e-01,7.327377781969901527e-01,9.059208362038012607e-01
5.969121430271281392e-01,4.098282511601396561e-01,4.907085883414498140e-01,8.673519765451688235e-01
6.995859611358116181e-01,3.944714286678840942e-01,5.636780300711634606e-01,8.804313110197132808e-01
